molecule,odor
CC(=O)C1=CC=C(C=C1)OC,"SubString{String}[""sweet"", ""vanilla"", ""cherry"", ""maraschino"", ""powdery"", ""anisic"", ""balsamic"", ""hawthorn"", ""acacia"", ""hay"", ""floral""]"
COC1=CC=C(C=C1)C(=O)O,"SubString{String}[""phenolic"", ""animal"", ""fecal"", ""medicinal"", ""spicy"", ""cherry"", ""sweet""]"
C=CC1=CC=CC=C1,"SubString{String}[""sweet"", ""plastic"", ""floral"", ""balsamic"", ""gasoline"", ""pungent""]"
C1=CC=C(C=C1)CO,"SubString{String}[""sweet"", ""floral"", ""rose"", ""fruity"", ""phenolic"", ""balsamic"", ""chemical"", ""almond""]"
C1=CC=C(C=C1)C=O,"SubString{String}[""sweet"", ""cherry"", ""maraschino"", ""nutty"", ""fruity"", ""powdery"", ""almond"", ""bitter"", ""sharp""]"
C1=CC=C(C=C1)CS,"SubString{String}[""sulfurous"", ""garlic"", ""horseradish"", ""alliaceous"", ""coffee"", ""onion"", ""minty"", ""sharp""]"
COC1=CC=CC=C1,"SubString{String}[""gasoline"", ""anise"", ""phenolic"", ""ethereal"", ""anisic"", ""sweet""]"
CSC1=CC=CC=C1,"SubString{String}[""sawdust"", ""solvent"", ""spicy"", ""woody"", ""pungent"", ""roasted"", ""meaty"", ""sulfurous"", ""coffee""]"
CCC1=CC=CC=N1,"SubString{String}[""green"", ""grassy"", ""fishy"", ""smoky""]"
CC1=CC(=CC=C1)OC,"SubString{String}[""floral"", ""narcissus"", ""nutty"", ""pungent"", ""dry""]"
CC(C)(CC1=CC=CC=C1)O,"SubString{String}[""clean"", ""rhubarb"", ""cortex"", ""floral"", ""rose"", ""oily"", ""green"", ""fresh"", ""herbal""]"
CCCCCCCCCCCCCCC(=O)O,"SubString{String}[""waxy"", ""fatty""]"
CCCCCCCC(OC)OC,"SubString{String}[""leafy"", ""floral"", ""rose"", ""violet"", ""ozone"", ""green"", ""citrus"", ""fresh"", ""waxy"", ""orange"", ""cognac""]"
CC1=CCC(CC1)C(C)(C)OC(=O)/C=C/C2=CC=CC=C2,"SubString{String}[""sweet"", ""winey"", ""nutmeg"", ""balsamic"", ""fruity"", ""spicy""]"
CCCCCCCCCCCC(=O)OC1=CC=C(C=C1)C,"SubString{String}[""sweet"", ""vanilla"", ""floral"", ""nutty"", ""oily"", ""balsamic"", ""waxy""]"
CCCCCCCC(=O)OC(C)(CCC=C(C)C)C=C,"SubString{String}[""dry"", ""sweet"", ""natural"", ""herbal"", ""fruity"", ""green""]"
C1CSCC1=O,"SubString{String}[""vegetable"", ""meaty"", ""cooked"", ""garlic"", ""alliaceous"", ""clam"", ""green"", ""buttery"", ""roasted"", ""onion""]"
C1CC(=O)SC1,"SubString{String}[""garlic"", ""burnt"", ""sulfurous""]"
C1=CNC(=C1)C=O,"SubString{String}[""coffee"", ""musty"", ""beefy"", ""roasted"", ""nutty"", ""burnt"", ""pungent""]"
CC(C)C(=O)OC(C)(C)CCC1=CC=CC=C1,"SubString{String}[""raisin"", ""plum"", ""floral"", ""honey"", ""fruity"", ""powdery"", ""green"", ""geranium"", ""tropical"", ""papaya"", ""herbal"", ""tea""]"
CCOC1=CC=C(C=C1)C=O,"SubString{String}[""sweet"", ""anisic"", ""floral"", ""spicy"", ""cherry"", ""almond""]"
CCCC(=O)OC(CC)C1=CC=CC=C1,"SubString{String}[""plum"", ""floral"", ""fruity"", ""apricot"", ""jasmin"", ""sweet""]"
CCC(CC)COC(=O)C,"SubString{String}[""sweet"", ""musty"", ""banana"", ""fruity"", ""oily"", ""ethereal"", ""pear"", ""fermented""]"
CCOC(=O)CCC1=CC=CO1,"SubString{String}[""sweet"", ""rummy"", ""cooked"", ""ripe"", ""horseradish"", ""fruity"", ""pineapple"", ""jammy"", ""balsamic"", ""acrylate"", ""green"", ""woody"", ""chamomile""]"
CCCCCCC#CC(=O)OCC,"SubString{String}[""floral"", ""cucumber"", ""violet"", ""leaf"", ""green"", ""leafy""]"
CCOC(=O)CCCC1=CC=CC=C1,"SubString{String}[""sweet"", ""fruity"", ""plum""]"
COC1=C(C=CC(=C1)CC=C)OC=O,"SubString{String}[""dry"", ""woody"", ""orris"", ""warm"", ""sweet""]"
CC(=CCC/C(=C/COC(=O)CC(=O)C)/C)C,"SubString{String}[""sweet"", ""fermented"", ""fruity"", ""winey"", ""apple"", ""skin""]"
CCCCCC(=O)OC/C=C(\C)/CCC=C(C)C,"SubString{String}[""floral"", ""rose"", ""fruity"", ""geranium"", ""waxy"", ""pineapple"", ""tropical""]"
CCCCCCC(OC)OC,"SubString{String}[""fatty"", ""privet"", ""fruity"", ""oily"", ""orange"", ""green"", ""tropical"", ""waxy"", ""vegetable""]"
CCCCCCCOC(=O)/C=C/C1=CC=CC=C1,"SubString{String}[""leafy"", ""hyacinth"", ""green"", ""earthy"", ""floral""]"
CCC=CCCOC(=O)CC(C)C,"SubString{String}[""sweet"", ""apple"", ""green"", ""fruity""]"
CCCCCCOC(=O)CC(C)C,"SubString{String}[""sweet"", ""juicy"", ""strawberry"", ""fruity"", ""apple"", ""skin"", ""fresh"", ""green""]"
CCCCCCOC(=O)C(C)CC,"SubString{String}[""spicy"", ""fruity"", ""apple"", ""green"", ""tropical"", ""waxy""]"
CCCCCCC1CC(CO1)OC(=O)C,"SubString{String}[""sweet"", ""fruity"", ""floral""]"
CC(C)(CC1=CC=CC=C1)OC=O,"SubString{String}[""dry"", ""herbal"", ""green"", ""lily"", ""jasmin"", ""jasmine""]"
CN(C)C1=CC=CC=C1C(=O)OC,"SubString{String}[""fruity"", ""orange"", ""leafy"", ""petitgrain"", ""grape""]"
CC(C)(CC1=CC=CC=C1)C=O,"SubString{String}[""ocean"", ""fresh"", ""marine"", ""aldehydic"", ""floral""]"
CCCC(=O)OC(C)(C)CC1=CC=CC=C1,"SubString{String}[""plum"", ""floral"", ""herbal"", ""fruity"", ""prune"", ""green"", ""apricot"", ""tea""]"
CCOC(=O)CCC1CCCCC1,"SubString{String}[""sweet"", ""fruity"", ""pineapple"", ""pear"", ""peach""]"
COC(=O)CC1=CC=CC=C1,"SubString{String}[""sweet"", ""spicy"", ""floral"", ""honey"", ""fruity"", ""almond"", ""waxy""]"
COC(CC1=CC=CC=C1)OC,"SubString{String}[""foliage"", ""mushroom"", ""floral"", ""rosy"", ""green"", ""earthy""]"
C1COC(O1)CC2=CC=CC=C2,"SubString{String}[""sweet"", ""honey"", ""green"", ""hyacinth"", ""waxy""]"
C1=CC=C(C=C1)CC2=CC=CC=C2,"SubString{String}[""sweet"", ""plastic"", ""wet"", ""green"", ""geranium"", ""rose"", ""metallic"", ""leafy""]"
C1=CC=C(C=C1)OC2=CC=CC=C2,"SubString{String}[""geranium"", ""phenolic"", ""leaf"", ""green"", ""floral"", ""metallic""]"
CC1=CC=C(C=C1)OC(=O)CC2=CC=CC=C2,"SubString{String}[""animal"", ""rose"", ""honey"", ""narcissus"", ""lily"", ""hyacinth""]"
CCOC(=O)CC1=CC=CC=C1,"SubString{String}[""sweet"", ""chocolate"", ""dark"", ""floral"", ""honey"", ""rose"", ""cocoa"", ""anisic"", ""balsamic"", ""licorice"", ""black""]"
CCC(=O)OCC(C)OC(=O)CC,"SubString{String}[""winey"", ""fruity""]"
CCOC(=O)C1CC2CC1C=C2,"SubString{String}[""watery"", ""fruity"", ""honeydew"", ""green"", ""honey""]"
C1=CC=C(C=C1)CCOC(=O)CCO,"SubString{String}[""floral"", ""sweet"", ""rose"", ""fruity"", ""ethereal""]"
CC1NC(SC(S1)CC(C)C)C,"SubString{String}[""roasted"", ""nutty"", ""peanut"", ""cocoa"", ""hazelnut""]"
CSCC=C,"SubString{String}[""garlic"", ""onion"", ""sulfurous"", ""alliaceous""]"
C1=CC=C(C=C1)CC(=O)CC2=CC=CC=C2,"SubString{String}[""sweet"", ""almond"", ""bitter"", ""seedy"", ""floral"", ""plastic"", ""honey"", ""rose"", ""powdery"", ""cherry"", ""fruity""]"
CC(C)COC(=O)CC1=CC=CC=C1,"SubString{String}[""sweet"", ""floral"", ""honey"", ""cocoa"", ""fruity"", ""amber"", ""chocolate"", ""waxy"", ""rose""]"
C1=CC=C(C=C1)CC(=O)OCC2=CC=CC=C2,"SubString{String}[""sweet"", ""floral"", ""rose"", ""cocoa"", ""jasmin""]"
COC1=CC=C(C=C1)COC(=O)CC2=CC=CC=C2,"SubString{String}[""anise"", ""honey"", ""anisic"", ""balsamic"", ""woody"", ""rose""]"
CC(C)CCOC(=O)CC1=CC=CC=C1,"SubString{String}[""sweet"", ""animal"", ""floral"", ""honey"", ""rose"", ""cocoa"", ""balsamic"", ""castoreum"", ""chocolate"", ""fruity""]"
C1=CC=C(C=C1)CCOC(=O)CC2=CC=CC=C2,"SubString{String}[""sweet"", ""fatty"", ""floral"", ""honey"", ""rose"", ""powdery"", ""cinnamyl"", ""balsamic"", ""green""]"
CC(=CCC/C(=C/COC(=O)CC1=CC=CC=C1)/C)C,"SubString{String}[""floral"", ""honey"", ""fruity"", ""geranium"", ""aromatic"", ""rose"", ""sweet""]"
CCCN(CCC)CCC,"SubString{String}[""fishy"", ""ammoniacal"", ""ripe"", ""cheesy""]"
CC(=O)OCC(COC(=O)C)OC(=O)C,"SubString{String}[""clean"", ""fruity"", ""acidic"", ""creamy"", ""tropical"", ""ethereal""]"
CCC(C)C(=O)/C=C/C,"SubString{String}[""hazelnut"", ""nutty"", ""metallic""]"
C[C@@H](CCC[C@@H](C)CCC/C(=C/COC(=O)C)/C)CCCC(C)C,"SubString{String}[""floral"", ""orchid"", ""fruity"", ""oily"", ""balsamic"", ""green"", ""waxy""]"
CC(C)CC(CC(C)C)OC(=O)C,"SubString{String}[""rhubarb"", ""lilac"", ""floral"", ""herbal"", ""banana""]"
CCCCCCCC(=O)OCC1=CC=CC=C1,"SubString{String}[""fatty"", ""herbal"", ""fruity"", ""pineapple"", ""peach"", ""floral""]"
CC(C)(CCC1=CC=CC=C1)O,"SubString{String}[""clean"", ""floral"", ""rose"", ""violet"", ""fresh"", ""bois"", ""de"", ""green"", ""lily"", ""herbal"", ""sweet""]"
CC(=O)OC(C)(C)CCC1=CC=CC=C1,"SubString{String}[""sweet"", ""leafy"", ""floral"", ""rose"", ""balsamic"", ""green"", ""narcissus"", ""fruity"", ""fresh""]"
CCCCC(CC)COC(=O)C,"SubString{String}[""herbal"", ""earthy"", ""dirty"", ""humus"", ""fruity"", ""sweet""]"
CC(C)C(=O)/C=C\C1=CC=C(C=C1)OC,"SubString{String}[""caramellic"", ""fruity"", ""buttery""]"
COC(=O)CCC1=CC=CC=C1,"SubString{String}[""floral"", ""honey"", ""fruity"", ""winey"", ""balsamic"", ""spicy"", ""cinnamon"", ""sweet""]"
CC(C)C(=O)OCC1=CC=CC=C1,"SubString{String}[""sweet"", ""juicy"", ""floral"", ""rose"", ""fruity"", ""oily"", ""powdery"", ""jasmin"", ""tropical"", ""woody""]"
CCCC(=O)OCC1=CC=CC=C1,"SubString{String}[""sweet"", ""loganberry"", ""fruity"", ""pineapple"", ""apricot"", ""apple"", ""fresh"", ""jasmin"", ""tropical"", ""waxy"", ""floral"", ""plum""]"
CC(C)CC(=O)OCC1=CC=CC=C1,"SubString{String}[""sweet"", ""musty"", ""herbal"", ""fruity"", ""pineapple"", ""apple"", ""powdery"", ""tobacco"", ""cheesy""]"
CC(=O)OCCC1=CC=CC=C1,"SubString{String}[""sweet"", ""yeasty"", ""floral"", ""honey"", ""rose"", ""fruity"", ""cocoa"", ""balsamic"", ""tropical""]"
CC(C)C(=O)OCCC1=CC=CC=C1,"SubString{String}[""tea"", ""floral"", ""rose"", ""fruity"", ""pastry"", ""peach"", ""honey""]"
C1=CC=C(C=C1)COCC2=CC=CC=C2,"SubString{String}[""sweet"", ""mushroom"", ""rose"", ""plastic"", ""fruity"", ""cherry"", ""earthy"", ""almond""]"
CCCC(=O)OCCC1=CC=CC=C1,"SubString{String}[""sweet"", ""musty"", ""yeasty"", ""floral"", ""strawberry"", ""rose"", ""green"", ""fruity""]"
C1=CC=C(C=C1)CCOC(=O)/C=C/C2=CC=CC=C2,"SubString{String}[""spicy"", ""foliage"", ""rose"", ""fruity"", ""balsamic"", ""sweet""]"
CC(C)C(=O)OCCCC1=CC=CC=C1,"SubString{String}[""sweet"", ""fermented"", ""plum"", ""honey"", ""fruity"", ""osmanthus"", ""apricot"", ""juicy"", ""fruit"", ""jammy"", ""bready"", ""balsamic"", ""sugar"", ""dried"", ""tropical"", ""spicy""]"
CC(C)C(=O)OCCOC1=CC=CC=C1,"SubString{String}[""sweet"", ""rose"", ""honey"", ""floral"", ""fruity"", ""apple"", ""powdery"", ""green"", ""tropical"", ""waxy""]"
C1=CC=C(C=C1)CC(=O)O,"SubString{String}[""sweet"", ""animal"", ""sour"", ""floral"", ""honey"", ""rose"", ""civet"", ""powdery"", ""tobacco"", ""honeysuckle"", ""chocolate"", ""waxy""]"
CC1=CC=C(C=C1)OC(=O)C(C)C,"SubString{String}[""animal"", ""floral"", ""fruity"", ""green"", ""narcissus"", ""lily"", ""warm""]"
CC(C)/C=C/C(=O)O,"SubString{String}[""blackberry"", ""tea"", ""fruity"", ""fatty"", ""tobacco"", ""sour"", ""berry""]"
CCCCC/C=C/CCO,"SubString{String}[""melon"", ""cucumber"", ""green"", ""waxy""]"
CCCCC/C=C\CCO,"SubString{String}[""mushroom"", ""melon"", ""rind"", ""fresh"", ""green"", ""tropical"", ""waxy""]"
CCOC(=O)C(CC(C)C)O,"SubString{String}[""fruity"", ""fresh"", ""blackberry"", ""winey""]"
CCCC/C=C/C(=O)O,"SubString{String}[""rancid"", ""grassy"", ""caramellic"", ""sour"", ""green"", ""fruity"", ""fatty"", ""cheesy""]"
CCCCC(=O)OCC1=CC=CC=C1,"SubString{String}[""floral"", ""fruity"", ""apple"", ""skin"", ""tobacco"", ""musk""]"
CC1=CC=C(C=C1)CC=O,"SubString{String}[""sweet"", ""cortex"", ""lilac"", ""nutty"", ""fruity"", ""phenolic"", ""green"", ""cherry"", ""narcissus"", ""melon""]"
CC(=O)CCC1=CC=C(C=C1)OC,"SubString{String}[""sweet"", ""absolute"", ""rose"", ""fruity"", ""dried"", ""cassie"", ""raspberry"", ""cherry"", ""floral"", ""berry""]"
CC(=O)OCC1=CC=C(C=C1)OC,"SubString{String}[""sweet"", ""vanilla"", ""plum"", ""fruity"", ""powdery"", ""cherry"", ""balsam"", ""tonka"", ""balsamic"", ""floral"", ""coumarinic""]"
CCCC1=CC=C(C=C1)OC,"SubString{String}[""sweet"", ""root"", ""beer"", ""anise"", ""herbal"", ""sassafrass"", ""anisic"", ""licorice"", ""black"", ""fennel""]"
C/C=C/C1=CC=C(C=C1)OC,"SubString{String}[""sweet"", ""anise"", ""medicinal"", ""licorice"", ""mimosa"", ""herbal"", ""anisic""]"
CCCCC1CCC(=O)O1,"SubString{String}[""sweet"", ""fatty"", ""coconut"", ""creamy"", ""waxy"", ""dairy"", ""tonka"", ""coumarinic""]"
C1=CC=C(C=C1)CCC=O,"SubString{String}[""aldehydic"", ""foliage"", ""leafy"", ""cortex"", ""floral"", ""melon"", ""fresh"", ""balsamic"", ""green"", ""storax""]"
C1=CC=C(C=C1)COC=O,"SubString{String}[""cherry"", ""spicy"", ""floral"", ""cranberry"", ""fruity"", ""almond"", ""tea"", ""black"", ""chemical"", ""fresh""]"
C1=CC=C(C=C1)CCOC=O,"SubString{String}[""floral"", ""rose"", ""herbal"", ""watercress"", ""green"", ""hyacinth""]"
C1=CC=C(C=C1)CCCOC=O,"SubString{String}[""sweet"", ""cinnamon"", ""floral"", ""honey"", ""hyacinth"", ""green""]"
CCCCC(CC)CO,"SubString{String}[""sweet"", ""floral"", ""oily"", ""fresh"", ""citrus"", ""rose"", ""fermented""]"
CC1=CC=C(C=C1)C=O,"SubString{String}[""phenolic"", ""deep"", ""fruity"", ""cherry"", ""almond"", ""sweet""]"
CCC1=CN=C(C=C1)C,"SubString{String}[""roasted"", ""potato"", ""raw"", ""nutty"", ""earthy"", ""green"", ""fatty""]"
CC1=CC=C(C=C1)OC,"SubString{String}[""naphthyl"", ""ylang"", ""nutty"", ""cresol"", ""powdery"", ""leathery"", ""green"", ""sharp"", ""phenolic"", ""floral"", ""sweet""]"
COC1=C(C=CC(=C1)CC=C)OC(=O)CC2=CC=CC=C2,"SubString{String}[""sweet"", ""honey"", ""spicy"", ""carnation"", ""warm"", ""aromatic""]"
CCCCC(=O)OC/C=C(\C)/CCC=C(C)C,"SubString{String}[""floral"", ""fruity"", ""pineapple"", ""rose"", ""apple"", ""tobacco""]"
CC(=O)OC1CCC(CC1)C(C)(C)C,"SubString{String}[""floral"", ""fruity"", ""fresh"", ""pine"", ""woody"", ""cedar"", ""herbal"", ""oily"", ""green"", ""balsam"", ""orris""]"
CCC(C)(CCC1=CC=CC=C1)O,"SubString{String}[""sweet"", ""lilac"", ""floral"", ""peony"", ""anisic"", ""fresh"", ""narcissus"", ""earthy"", ""fruity"", ""rose""]"
CC1COC(O1)/C=C(\C)/CCC=C(C)C,"SubString{String}[""sweet"", ""lemon"", ""orange"", ""citrus""]"
CCCCCCCCCC(=O)OCCCCCC,"SubString{String}[""fresh"", ""green"", ""oily"", ""fatty"", ""fruity"", ""herbal"", ""winey""]"
CCCCC(=O)OC(C)(CCC=C(C)C)C=C,"SubString{String}[""lavender"", ""fruity"", ""apricot"", ""citrus"", ""sweet""]"
C/C=C(/C)\C(=O)OCCC(C)C,"SubString{String}[""floral"", ""fruity"", ""chamomile"", ""herbal"", ""winey""]"
CCCCCOC1=C(C=C(C=C1)/C=C/C)OC,"SubString{String}[""sweet"", ""spicy"", ""floral"", ""carnation"", ""balsamic"", ""tea""]"
CCCCOC1=CC2=CC=CC=C2C=C1,"SubString{String}[""sweet"", ""berry"", ""floral"", ""strawberry"", ""fruity"", ""raspberry""]"
CC(CCCC(=C)C)CCOC(=O)CC1=CC=CC=C1,"SubString{String}[""sweet"", ""rose"", ""red"", ""floral"", ""honey"", ""powdery"", ""green"", ""geranium"", ""waxy""]"
CCCCCCCCCCCCC=O,"SubString{String}[""aldehydic"", ""clean"", ""petal"", ""grapefruit"", ""peel"", ""fresh"", ""soapy"", ""citrus"", ""waxy"", ""fatty"", ""orange""]"
CC(C)COC(=O)CCC1=CC=CO1,"SubString{String}[""floral"", ""fruity"", ""pineapple"", ""winey"", ""woody"", ""brandy"", ""rum""]"
COC1=CC=C(C=C1)CO,"SubString{String}[""sweet"", ""lilac"", ""rose"", ""floral"", ""powdery"", ""creamy"", ""balsamic"", ""coumarinic"", ""cherry"", ""licorice"", ""hawthorn"", ""hyacinth"", ""lactonic"", ""fruity"", ""vanilla"", ""anisic""]"
CCCC1CCC(=O)O1,"SubString{String}[""sweet"", ""caramellic"", ""nutty"", ""coconut"", ""powdery"", ""creamy"", ""coumarinic"", ""lactonic"", ""hay"", ""tonka""]"
CCC(=O)OCC,"SubString{String}[""sweet"", ""fermented"", ""juicy"", ""rummy"", ""grape"", ""fruity"", ""winey"", ""pineapple"", ""ethereal"", ""egg"", ""nog"", ""rum""]"
CCC(C)CC(=O)O,"SubString{String}[""animal"", ""sweaty"", ""fruity"", ""acidic"", ""green"", ""cheesy"", ""sharp""]"
CC(=O)CC(=O)OC,"SubString{String}[""fruity"", ""fresh"", ""citrus"", ""green"", ""apple"", ""winey"", ""brandy""]"
CCC(C)OC(=O)C,"SubString{String}[""banana"", ""solvent"", ""fruity"", ""ethereal"", ""pear"", ""sweet""]"
CCOC(=O)CC(=O)OCC,"SubString{String}[""sweet"", ""apple"", ""fruity"", ""green""]"
CCCC(=O)OCC,"SubString{String}[""juicy"", ""fruit"", ""cognac"", ""fruity"", ""pineapple"", ""ripe"", ""ethereal"", ""banana"", ""buttery""]"
CCOC(C)OCC,"SubString{String}[""sweet"", ""vegetable"", ""nutty"", ""green"", ""ethereal"", ""earthy"", ""fruity"", ""alcoholic""]"
C1CCC(=O)NCC1,"SubString{String}[""amine"", ""spicy"", ""fishy"", ""animal""]"
CCCC(=O)OCCC,"SubString{String}[""sweet"", ""rancid"", ""sweaty"", ""bubble"", ""gum"", ""fruity"", ""pineapple"", ""apricot"", ""ethereal"", ""tutti"", ""frutti""]"
CC1=CC(=C(C=C1)O)C,"SubString{String}[""roasted"", ""smoky"", ""phenolic"", ""burnt"", ""sharp""]"
CCC(=O)OCCC(C)C,"SubString{String}[""sweet"", ""estery"", ""ripe"", ""banana"", ""fruity"", ""pineapple"", ""apple"", ""fresh"", ""green"", ""fruit"", ""tropical"", ""apricot"", ""plum""]"
CCCCCC(=O)OCC(C)C,"SubString{String}[""sweet"", ""earthy"", ""estery"", ""sour"", ""fruity"", ""pineapple"", ""apple"", ""green"", ""tropical"", ""skin"", ""peach"", ""winey""]"
CCCOC(C)OCCC,"SubString{String}[""leafy"", ""chrysanthemum"", ""herbal"", ""fresh"", ""green"", ""alcoholic"", ""ethereal"", ""earthy"", ""fruity"", ""vegetable"", ""winey""]"
CC(CCC=C(C)C)CCOC=O,"SubString{String}[""sweet"", ""mandarin"", ""plum"", ""floral"", ""rose"", ""cucumber"", ""fruity"", ""apricot"", ""green"", ""bergamot"", ""citrus"", ""peach"", ""waxy"", ""leafy""]"
CC(=CCC/C(=C/COC=O)/C)C,"SubString{String}[""floral"", ""rose"", ""fruity"", ""apple"", ""fresh"", ""green"", ""tea"", ""neroli"", ""tropical"", ""peach"", ""leafy""]"
CC(=CCC/C(=C/COC(=O)C)/C)C,"SubString{String}[""floral"", ""rose"", ""lavender"", ""green"", ""waxy"", ""fruity"", ""sweet""]"
CCC(=O)OCCC(C)CCCC(=C)C,"SubString{String}[""floral"", ""geranium"", ""verbena"", ""rose"", ""sweet""]"
CCC(=O)OC/C=C(\C)/CCC=C(C)C,"SubString{String}[""vegetable"", ""floral"", ""rose"", ""honey"", ""fruity"", ""powdery"", ""geranium"", ""tropical"", ""citrus"", ""waxy"", ""grape"", ""sweet""]"
CCC(=O)OC/C=C(/C)\CCC=C(C)C,"SubString{String}[""sweet"", ""berry"", ""floral"", ""fruity"", ""jammy"", ""powdery"", ""green"", ""tutti"", ""frutti""]"
C1CCCCCC(=O)OCCOC(=O)CCCCC1,"SubString{String}[""sweet"", ""floral"", ""ambrette"", ""powdery"", ""woody"", ""musk"", ""fatty"", ""oily""]"
C1=CC=C(C=C1)CCCCCO,"SubString{String}[""floral"", ""rose"", ""verbena"", ""carnation"", ""lemon"", ""citrus"", ""herbal"", ""sweet""]"
CCCCCCCCC#CC(=O)OC,"SubString{String}[""meaty"", ""fatty"", ""floral"", ""fruity"", ""violet"", ""green"", ""milky"", ""waxy""]"
CC(=CCC/C(=C\COC(=O)CC1=CC=CC=C1)/C)C,"SubString{String}[""floral"", ""honey"", ""honeysuckle"", ""rose"", ""sweet""]"
CCCCCC(=O)OCCC(C)CCC=C(C)C,"SubString{String}[""floral"", ""fruity"", ""rose"", ""apple"", ""pear"", ""pineapple""]"
CCCCC(=O)OCC(C)C,"SubString{String}[""fruity"", ""ethereal"", ""apple""]"
CC1=CC(=C(O1)C)C(=O)C,"SubString{String}[""sweet"", ""musty"", ""cocoa"", ""nutty"", ""powdery"", ""roasted"", ""earthy"", ""leathery"", ""corn""]"
C1CCCCCCCOC(=O)CCCCCC1,"SubString{String}[""natural"", ""animal"", ""fruity"", ""powdery"", ""tobacco"", ""coumarinic"", ""licorice"", ""brown"", ""heliotrope"", ""musk"", ""sweet"", ""pear""]"
CCCCCCCCCCCC(=O)OCCCC,"SubString{String}[""fermented"", ""fruity"", ""peanut"", ""soapy"", ""dairy"", ""waxy"", ""oily"", ""fatty""]"
CCCOC(=O)CCCCC(=O)OCCC,"SubString{String}[""alcoholic"", ""mild"", ""solvent"", ""odorless""]"
CC(C)CCCC(C)CCO,"SubString{String}[""musty"", ""aldehydic"", ""green"", ""soapy"", ""citrus"", ""leathery"", ""waxy"", ""sweet"", ""floral"", ""rose"", ""plastic""]"
CC(=CCC/C(=C/CO)/C)C,"SubString{String}[""sweet"", ""floral"", ""rose"", ""fruity"", ""citrus"", ""waxy""]"
CC(=CCC/C(=C\CO)/C)C,"SubString{String}[""sweet"", ""natural"", ""magnolia"", ""neroli"", ""citrus"", ""fresh"", ""rose""]"
CC(=CCC/C(=C\C=O)/C)C,"SubString{String}[""sweet"", ""lemon"", ""peel"", ""citrus"", ""fruity"", ""herbal""]"
CCCC(=O)OCCC(C)C,"SubString{String}[""banana"", ""fruity"", ""apricot"", ""pear"", ""green""]"
CC(=CCC/C(=C/CC/C(=C/CO)/C)/C)C,"SubString{String}[""sweet"", ""floral"", ""muguet"", ""lily"", ""waxy"", ""oily""]"
CCCC(=O)OC/C=C(\C)/CCC=C(C)C,"SubString{String}[""sweet"", ""rose"", ""fruity"", ""apricot"", ""fresh"", ""raspberry"", ""green"", ""tropical"", ""peach"", ""waxy""]"
CCCCCCC(=O)OCC,"SubString{String}[""sweet"", ""rummy"", ""estery"", ""seedy"", ""berry"", ""banana"", ""cognac"", ""fruity"", ""pineapple"", ""winey"", ""green""]"
CCCCCCCC(=O)OCC,"SubString{String}[""sweet"", ""musty"", ""banana"", ""brandy"", ""fruity"", ""winey"", ""apricot"", ""pineapple"", ""pear"", ""creamy"", ""dairy"", ""waxy""]"
CCCCCCCCCCCC(=O)OCC,"SubString{String}[""sweet"", ""clean"", ""floral"", ""soapy"", ""waxy"", ""oily"", ""fatty"", ""fruity""]"
CCCCC(=O)CC,"SubString{String}[""sweet"", ""musty"", ""fatty"", ""fruity"", ""green"", ""cheesy"", ""ketonic"", ""banana""]"
CCCOC(=O)CC,"SubString{String}[""sweet"", ""fruity"", ""pineapple"", ""winey"", ""chemical"", ""pungent"", ""sharp"", ""ethereal"", ""rum""]"
CC1=CC=C(C=C1)O,"SubString{String}[""narcissus"", ""animal"", ""phenolic"", ""mimosa"", ""smoky"", ""medicinal""]"
COC(=O)CCC(=O)OC,"SubString{String}[""sweet"", ""estery"", ""rummy"", ""bubble"", ""gum"", ""floral"", ""fruity"", ""green"", ""tutti"", ""frutti"", ""papaya"", ""winey"", ""ethereal""]"
CCCCCC(=O)CC,"SubString{String}[""sweet"", ""musty"", ""fermented"", ""vegetable"", ""mushroom"", ""herbal"", ""lavender"", ""fresh"", ""green"", ""moldy"", ""cheesy"", ""ketonic"", ""earthy"", ""fruity""]"
CCCCCC(=O)OC,"SubString{String}[""bacon"", ""banana"", ""strawberry"", ""fruity"", ""pineapple"", ""apricot"", ""ethereal"", ""fruit"", ""tropical"", ""apple""]"
CC(CCC=C(C)C)C=O,"SubString{String}[""sweet"", ""clean"", ""floral"", ""melon"", ""ozone"", ""oily"", ""watermelon"", ""rind"", ""fresh"", ""green""]"
CCCCCCC(=O)OC,"SubString{String}[""sweet"", ""berry"", ""floral"", ""fruity"", ""apple"", ""green"", ""orris"", ""waxy""]"
CCCC1OCCC(S1)C,"SubString{String}[""sweet"", ""sulfurous"", ""garlic"", ""fruity"", ""lychee"", ""pear"", ""onion""]"
C=CC=O,"SubString{String}[""cherry"", ""fruity"", ""almond"", ""alliaceous"", ""sharp"", ""herbal"", ""pungent""]"
CCCS,"SubString{String}[""sweet"", ""alliaceous"", ""cabbage"", ""onion"", ""gassy"", ""meaty"", ""sulfurous""]"
CCCN,"SubString{String}[""ammoniacal"", ""fishy"", ""cheesy""]"
C=CCO,"SubString{String}[""mustard"", ""pungent"", ""alliaceous"", ""sharp""]"
